Job Title,Job Description,Rating,Location,Size,Industry,Sector,Founded,salary_avg
sr data scientist,description senior data scientist responsible defining building improving statistical models improve business processes outcomes one healthcare domains clinical enrollment claims finance part broader analytics team data scientist gather analyze data solve address complex business problems evaluate scenarios make predictions future outcomes work business communicate support decisionmaking position requires strong analytical skills experience analytic methods including multivariate regressions hierarchical linear models regression trees clustering methods complex statistical techniques duties responsibilities • develops advanced statistical models predict quantify forecast various operational performance metrics multiple healthcare domains • investigates recommends initiates acquisition new data resources internal external sources • works multiple teams support data collection integration retention requirements based business needs • identifies critical emerging technologies support extend quantitative analytic capabilities • collaborates business subject matter experts select relevant sources information • develops expertise multiple machine learning algorithms data science techniques exploratory data analysis predictive modeling graph theory recommender systems text analytics validation • develops expertise healthfirst datasets data repositories data movement processes • assists projectsrequests may lead specific tasks within project scope • prepares manipulates data use development statistical models • duties assigned minimum qualifications bachelors degree preferred qualifications master’s degree computer science statistics familiarity major cloud platforms aws azure healthcare industry experience minimum qualifications bachelors degree preferred qualifications master’s degree computer science statistics familiarity major cloud platforms aws azure healthcare industry experience equal opportunity employer applicants employees considered positions evaluated without regard mental physical disability race color religion gender national origin age genetic information military veteran status sexual orientation marital status protected federal stateprovince local status unrelated performance work involved disability americans disability act similar law want reasonable accommodation assist job search application employment please contact us sending email careershealthfirstorg calling email please include description accommodation requesting description position applying reasonable accommodation requests related applying position within healthfirst management services reviewed email address phone number supplied thank considering career healthfirst management services eeo law poster supplement,3.1,New York,1001 to 5000 employees,Insurance Carriers,Insurance,1993.0,154.0
data scientist,secure nation ignite future join top information technology analytic professionals industry make invaluable contributions national security daily basis innovative selfcontained big data environment mantech team responsible everything infrastructure application development data science advanced analytics beyond team diverse questions thoughtprovoking opportunities growth advancement numerous successful candidate possess diverse range datafocused skills experience technical analytical strong desire capability problem solving data analysis troubleshooting analytical thinking experimentation duties tasks responsibilities working large complex disparate data sets designing implementing innovative ways analyze exploit sponsors data holdings researching reporting wide variety sponsor inquiries raising proactive inquiries sponsor based observations proposed data analysisexploitation solving difficult nonroutine problems applying advanced analytical methodologies improving analytic methodologies developing custom searches communicating coordinating internal external partners needed required experience skills technologies thorough knowledge appropriate analytic tools methodologies one following applied mathematics eg probability statistics formal modeling computational social sciences computer programming eg programming languages mathstatistics packages computer science machine learning scientific computing ability code script one general programming language experience theoretical understanding algorithms classification regression clustering anomaly detection knowledge relational databases including sql largescale distributed systems eg hadoop expertise statistical data analysis eg linear models multivariate analysis stochastic models sampling methods demonstrated effectiveness collecting information accurately representingvisualizing nontechnical third parties tssci polygraph bachelor science equivalent years related experience consider levels experience desired experience skills technologies previous investigative experience using combination technical analytic skills lidu mantech international corporation well subsidiaries proactively fulfills role equal opportunity employer discriminate employee applicant employment race color sex religion age sexual orientation gender identity expression national origin marital status physical mental disability status disabled veteran recently separated veteran active duty wartime campaign badge veteran armed forces services medal characteristic protected law require reasonable accommodation apply position mantech online applicant system please contact mantechs corporate eeo department mantech affirmative actionequal opportunity employer minorities females disabled protected veterans urged apply mantechs utilization external recruitment job placement agency predicated upon full compliance equal opportunityaffirmative action policies mantech accept resumes unsolicited recruiting firms pay fees unsolicited services qualified individual disability disabled veteran right request accommodation unable limited ability use access httpwwwmantechcomcareerspagescareersaspx result disability request accommodation please click careersmantechcom provide name contact information,4.2,Chantilly,5001 to 10000 employees,Research & Development,Business Services,1968.0,154.0
data scientist,overview analysis group one largest international economics consulting firms professionals across offices north america europe asia since provided expertise economics finance health care analytics strategy top law firms fortune global companies government agencies worldwide internal experts together network affiliated experts academia industry government offer clients exceptional breadth depth expertise currently seeking data scientist join team ideal candidate passionate working cutting edge research analytical services fortune companies global pharmabiotech firms leaders industries finance energy life sciences data scientist contributing member client engagements opportunity work network worldclass experts thought leaders job functions responsibilities candidate data scientist help develop maintain teach new tools methodologies related data science high performance computing position also help analysis group maintaining leadership position terms advancing methodology data analytics data scientist responsible staying abreast new developments technology relating data science share broadly analysis group key responsibilities position include working project teams address data sciencecomputing challenges identifying opportunities technology enhance service offerings acting resource participating client engagements research part project team maintaining uptodate knowledge computing tools providing technical training helping grow inhouse knowledge base specifically linux environment presenting research selected conferences examples activities data scientist include developing data engineering machine learning production systems full stack data science projects using natural language processing methodologies work emr data social media data unstructured data optimizing procedures managing accessing large databases eg insurance claims electronic health records financial transactions creating interactive analytics portals data visualizations eg using rshiny pythonflask building maintaining high performance computing hpc tools grid cloud computing environments developing reviewing software packages r python object oriented languages establishing optimized procedures repetitive computationally intensive tasks c c cudac qualifications strong credentials experience database management data visualization significant experience working within linux environment required background statisticseconometrics biostatistics ideally phd computer science mathematics statistics economics relevant scientific degree relevant experience candidates least one year experience field may also considered excellent written verbal communication skills project experience r andor python familiar onlinecloud computingstorage eg aws demonstrated experience working project teams collaborating others scientifique des données l’utilisation du genre masculin sert uniquement à alléger le texte et est utilisé ici en tant que genre neutre survol groupe d’analyse ltée est l’une des plus grandes firmes de servicesconseils en économie comptant plus de professionnels répartis dans bureaux en amérique du nord en europe et en asie depuis nous offrons notre expertise en matière de stratégie d’économie de finance et d’analyse dans le domaine des soins de santé aux grands cabinets d’avocats aux sociétés fortune global et aux agences gouvernementales du monde entier nos professionnels en poste conjugués à notre réseau de spécialistes affiliés issus d’universités d’industries spécifiques et d’organismes gouvernementaux procurent à notre clientèle un savoirfaire d’une portée et d’une profondeur exceptionnelles nous sommes présentement à la recherche dun scientifique des données « data scientist » pour se joindre à notre équipe le candidat idéal devrait être passionné par la recherche de pointe et les services analytiques pour les entreprises fortune les entreprises pharmaceutiques et biotechnologiques mondiales et les chefs de file dans des secteurs de la finance lénergie et les sciences de la vie le scientifique des données sera un membre contributeur aux mandats des clients et aura loccasion de travailler avec notre réseau dexperts et de leaders dopinion de classe mondiale description du poste et des responsabilités le scientifique des données aidera à développer maintenir et enseigner de nouveaux outils et méthodologies liés à la science des données « data science » et au hpc ce poste aidera également le groupe danalyse à maintenir sa position de chef de file en ce qui trait à lavancement de la méthodologie et de lanalyse des données le scientifique des données sera chargé de se tenir au courant des nouveaux développements technologiques liés à la science des données afin de les partager plus largement avec le groupe danalyse les principales responsabilités de ce poste comprendront collaborer avec les consultants pour relever les défis de la science des données et de sciences informatiques agir à titre de ressource et participer aux mandats et à la recherche en tant que membre de léquipe de projet maintenir à jour les connaissances sur les outils informatiques fournir une formation technique et aider à développer la base de connaissances interne notamment dans un environnement linux présenter la recherche à des conférences choisies exemples de tâches du scientifique des données développement de systèmes de production en ingénierie des données ainsi qu’en apprentissage machine pour des projets de science des données full stack utiliser des méthodologies nlp pour travailler avec les données médicales électroniques les données des médias sociaux et dautres données non structures optimiser les procédures de gestion et daccès aux grandes bases de données ex réclamations dassurance dossiers de santé électroniques transactions financières création de portails danalyse interactifs et de visualisations de données par exemple en utilisant rshiny pythonflask construire et maintenir des outils de calcul de haute performance hpc développement et révision de codes en r python et autres langages mise en place de procédures optimisées pour les tâches répétitives ou intensives en calcul c c cudac qualifications requises solides références et expérience dans la gestion de bases de données et de la visualisation de données expérience de travail significative dans un environnement linux requise expérience antérieure en statistiqueéconométrie ou biostatistique idéalement être titulaire dun doctorat en sciences informatiques en mathématiques en statistique en économie ou dun autre diplôme scientifique pertinent et posséder une expérience pertinente les candidats ayant au moins un dexpérience dans le domaine peuvent également être considérés excellentes aptitudes de communication écrite et verbale expérience de projet avec r etou python familiarité avec linformatique en ligneinfo nuagique et le stockage aws expérience de travail démontrée au sein déquipes de projet et de collaboration avec dautres personnes ­ equal opportunity employerprotected veteransindividuals disabilities please view equal employment opportunity posters provided ofccp contractor discharge manner discriminate employees applicants inquired discussed disclosed pay pay another employee applicant however employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractors legal duty furnish information cfr c,3.8,Boston,1001 to 5000 employees,Consulting,Business Services,1981.0,154.0
data scientist,job description passion data machine learning dream working customers forwardlooking ai initiatives challenge developing modern machine learning solutions solve realworld manufacturing problems exciting develop software monitoring semiconductor manufacturing process looking leverage latest technologies address customers needs part team investigates builds solutions based data available factories ranging time series data post manufacturing data production logs working side side application developers customers real world problems actual manufacturing data job function basic applied research statistical machine learning deep learning data science well signal information processing advance state art time series analysis semiconductor manufacturing data responsibilities perform data analysis data preprocessing feature engineering support advanced machine learning algorithm development incorporate physical operational insightsconstraints statistical models achieve high degree robustness prototype algorithms proof concept validation software implementation support performance evaluations transition algorithms existing fault detection classification systems convey results scientific research sponsors scientific community briefings conferences peerreviewed publications related functions assigned required qualifications bachelors degree computer science chemical engineering related technical field demonstrated ability machine learningartificial intelligence mlai development andor scientific modelling data analysis demonstrated ability pythonmatlab similar abstract language experience traditional ml modern deep learning approaches experience agile development practices git version control experience one dnn frameworks like tensorflow pytorch chainer experience sql graph stores nosql stores applicant must dynamic skill set willing work new technologies highly organized capable planning coordinating multiple tasks position require attention detail effective problem solving skills excellent judgment ability work independently sensitive confidential information maintain professional demeanor work team member without daily supervision compensation benefits compensation commensurate experience including competitive base salary bonus opportunity competitive benefits package relocation assistance inficon committed ensuring online application process provides equal opportunity job seekers apply without regard race religion ethnicity national origin citizenship gender age protected veteran status disability status genetic information sexual orientation protected characteristic notice describing federal equal employment opportunity laws available reaffirm commitment pi,3.5,Newton,501 to 1000 employees,Electrical & Electronic Manufacturing,Manufacturing,2000.0,154.0
data scientist,data scientist affinity solutions marketing cloud seeks smart curious technically savvy candidates join cuttingedge data science team hire best brightest give opportunity work industryleading technologies data sciences team afsmarketing cloud build models machine learning algorithms power adtechmartech products scale develop methodology tools precisely effectively measure market campaign effects research inhouse public data sources consumer spend behavior insights role youll opportunity come new ideas solutions lead improvement ability target right audience derive insights provide better measurement methodology marketing campaigns youll access core data asset machine learning infrastructure power ideas duties responsibilities · support clients model building needs including maintaining improving current modelingscoring methodology processes · provide innovative solutions customized modelingscoringtargeting appropriate mlstatistical tools · provide analyticalstatistical support marketing test design projection campaign measurement market insights clients stakeholders · mine large consumer datasets cloud environment support ad hoc business statistical analysis · develop improve automation capabilities enable customized delivery analytical products clients · communicate methodologies results management clients none technical stakeholders basic qualifications · advanced degree statisticsmathematicscomputer scienceeconomics fields requires advanced training data analytics · able apply basic statisticalml concepts reasoning address solve business problems targeting test design kpi projection performance measurement · entrepreneurial highly selfmotivated collaborative keen attention detail willingness capable learn quickly ability effectively prioritize execute tasks high pressure environment · flexible accept different task assignments able work tight time schedule · excellent command one programming languages preferably python sas r · familiar one database technologies postgresql mysql write basic sql queries · great communication skills verbal written presentation preferred qualifications · experience exposure large consumer andor demographic data sets · familiarity data manipulation cleaning routines techniques,2.9,New York,51 to 200 employees,Advertising & Marketing,Business Services,1998.0,154.0
data scientist,us headquartered beautiful santa barbara hg insights global leader technology intelligence hg insights uses advanced data science methodologies help worlds largest technology firms fastest growing companies accelerate sales marketing strategy efforts offer casual yet professional environment get sweat one fitness classes go run along beach two blocks away find employees riding bikes lunch funk zone hanging one collaboration spaces passionate jobs getitdone attitude yet dont take seriously youll looking data scientist software development data engineering background join research team reports directly cto rapidly growing company small focused engineering teams deliver innovative features fast growing market build bigdata systems utilizing cutting edge technologies solutions allow engineers continuously learn develop shipping amazing products qualities experience selflearner hacker technology advocate work anything amazing engineering skills youre way one best engineers know architect design code test mentor others experience working interesting successful projects thrive fast growing environment excellent written spoken english communication interest machine learning natural language processing youll responsible build solutions text classification entity linking entity extraction related projects scaling machine learning nlp projects run large datasets virtualized environments collaborate product development teams build effective solutions develop features databases backend apps front end ui data service daas product help architect design large scale enterprise bigdata systems work ideas different team members well fix bugs rapidly attend daily standup meetings planning sessions encourage others collaborate rapid pace youll need bs ms phd computer science related technical discipline experience natural language processing preferably commercial setting experience building logistic regression models proficient python jupyter well related data science libraries scikitlearn nltk spacy tensorflow proficient java scala years experience recommended experience mysql elasticsearch esb hadoop spark related data processingdatabase technologies experience amazon web services ec rds emr elb etc experience web services using rest java actual coding experience large distributed environments multiple endpoints complex interactions comfortable agile development environment understanding real world experience using design patterns comfortable programming mac intellij tools hg insights company equal opportunity employer please note hg insights accept unsolicited resumes recruiters employment agencies event recruiter agency submitting resume candidate without signed agreement place explicitly reserve right pursue hire candidates without financial obligation recruiter agency unsolicited resumes including submitted directly hiring managers deemed property hg insights,4.2,Santa Barbara,51 to 200 employees,Computer Hardware & Software,Information Technology,2010.0,154.0
data scientist  machine learning expert,posting title data scientist machine learning expert feb job id br job description one global discovery chemistry community working across disease areas novartis institutes biomedical research nibr seeking highly talented motivated data scientist join global discovery chemistry department cambridge successful candidate join energizing collaborative research organization working alongside colleagues committed improving human health discovery transformative medicines seeking unique data scientist skills experience passion extract new knowledge disruptive insights large rich body data collected one world’s leading pharmaceutical companies member global computeraided drug discovery cadd group interdisciplinary team expert molecular modelers cheminformaticians data scientists teamed domain experts biology chemistry translational medicine unique opportunity develop apply cuttingedge machine learning technologies uncover insights realworld drug discovery problems innovate paths new medicines responsibilities include •develop implement methods extracting patterns correlations internal external data sources using machine learning toolkits •develop workflows conducting comparative analysis among novartis’ diverse data sources well generalizing approaches developed inhouse externally •enable opensource solutions internal use implement cuttingedge published scientific methods •develop customized machine learning solutions including data querying knowledge extraction •interact part interdisciplinary project teams drive effective decisionmaking mining developing predictive models •develop new skills area cheminformatics drug discovery leverage accelerate development new machine learning algorithms •keep ahead scientific literature interact internal external scientists integrate novel data science technologies minimum requirements education advanced degree msc higher data science machine learning statistics computer sciences cheminformatics mathematics computational chemistry computational biology bioinformatics related field minimum experience skills •indepth experience modern classical machine learning methods •strong statistical foundation broad knowledge supervised unsupervised techniques •programming experience preferred python r c preferably linux highperformance computing environments •good listener strong concise consistent written oral communication •talent communicating stories data visualizations •proven ability collaborate others •a passion tackling challenging problems developing creative solutions •a drive selfdevelopment focus scientific knowhow additional qualifications help role •demonstrated impact using machine learning libraries scikitlearn pytorch similar cheminformatics context •hands experience data analysis software spotfire rshiny similar •working experience opensource cheminformatics toolkits rdkit •working experience sourcecode management systems gitgithubbitbucket •familiar foundational concepts molecular biology pharmacology medicine working knowledge medicinal chemistry drug discovery plus consider novartis million that’s many lives products touch we’re proud fact world digital technological transformation must also ask continue improve extend even people’s lives believe answers found curious courageous collaborative people like brought together inspiring environment you’re given opportunities explore power digital data you’re empowered risk failure taking smart risks you’re surrounded people share determination tackle world’s toughest medical challenges novartis join us help us reimagine medicine job type full time country usa work location cambridge functional area research development division nibr business unit global discovery chemistry employment type regular companylegal entity nibri eeo statement novartis group companies equal opportunity employers take pride maintaining diverse environment discriminate recruitment hiring training promotion employment practices reasons race color religion gender national origin age sexual orientation marital veteran status disability legally protected status shift work,3.9,Cambridge,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1996.0,154.0
data scientist,introduction always wanted run experiments global fleet consumer robots irobot looking data scientist help manage ab tests related robot software track performance kpis share results software teams strong candidate experience experimental design hypothesis testing statistics addition strong sql python skills guide software product management teams designing rigorous experiments test impact new software versions dashboarding monitor results live fleet test hypotheses software performance using appropriate statistical methods develop metrics track software performance uphold scientific best practices experimental design cohort selection contribute management system cohort selection successful least year relevant job internship coop experience ms computer science statistics mathematics physics chemistry biology social sciences plus detailoriented eager get hands dirty data proficient python sql data visualization experience using pandas numpy sklearn scipy matplotlib plotly experienced designing experiments making testing hypotheses identifying appropriate metrics answer question savvy statistical methods able select right test situation balance business considerations need scientific rigor selfmotivated comfortable working fastpaced deliveryfocused environment skilled communicator make complicated seem simple passionate using data drive decisionmaking,3.5,Bedford,1001 to 5000 employees,Consumer Electronics & Appliances Stores,Retail,1990.0,154.0
staff data scientist  analytics,intuit seeking staff data scientist cover intuits consumer group turbotax mint turbo exciting opportunity help shape use data generate hypotheses surface insights build models order personalize customer experiences provide awesome outcomes business customers role partner closely data engineering data analytics data science marketing managers product management,4.4,San Diego,5001 to 10000 employees,Computer Hardware & Software,Information Technology,1983.0,154.0
data scientist,ready write best chapter career xsell technologies artificial intelligence company focused increasing sales cloudbased machine learning engine uses predictive analytics natural language processing equip sales professionals best realtime responses driving improved conversion rates customer experiences pride high performing collaborative culture passionate product clients industry leading results xsell currently seeking data scientist serve key member data science team role work within safe agile framework continuous delivery work data scientists critical resource growing data science staff job description designing implementing improving xsell’s proprietary softwares real time messaging recommendation systems hipercobot qabot using various mathematical natural language processing nlp algorithms machine learning models developing new systems using python nlp lemmatization stemming named entity recognition updating existing systems adding new features enhance customers experience interacting stakeholders identify requirements define new processes closely work team define architecture microservice environment deploy systems using restful api’s planning development analysis dialogue predictionsentiment models causal models customeragent behavior improving accuracy house xsell recommendation system software suite evaluating monitoring annotations manually labelled ontology team analyzing researching current market trends possible ai opportunitiesimprovements qualifications msphd quantitative discipline eg machine learning data science computer science mathematics statistics related field years full time employment postdoctoral experience building validating predictive models structured unstructured data proficiency python knowledge basic libraries data manipulation machine learning natural language processing text mining experience creating using advanced machine learning algorithms regression neural networks etc understanding deep learning algorithms experience related libraries tensorflow pytorch nice experience sql understanding object oriented design ability craft new concepts stay current academic research experience graph databases graph designs experience designingdeveloping production level machine learning architectures using flask redis provide competitive compensation generous benefits professional atmosphere xsell fosters entrepreneurial results driven work environment opportunity part collaborative inclusive team able grow develop professional career xsell technologies equal employment opportunity employer employment decisions shall made without regard age race creed color religion sex national origin ancestry disability status veteran status sexual orientation gender identity expression genetic information marital status citizenship status basis protected federal state local law location chicago il role fulltime salaried,3.6,Chicago,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,2014.0,154.0
